x,y,z
-475,972,-328
-490,952,-252
-510,941,-197
-548,995,-122
-563,1007,-41
-576,981,97
-559,929,275
-325,878,540
-152,892,614
-21,877,722
28,810,838
-121,757,487
-276,846,20
-416,895,-281
-435,655,15
-318,559,178
-193,604,111
-114,742,-84
-78,970,-309
-60,1021,-307
-32,1061,-296
-6,1100,-289
76,1146,-234
176,1146,-200
294,1139,-188
374,1136,-189
332,1194,-132
299,1249,-58
342,1276,34
447,1243,134
487,1112,280
340,1118,277
175,1191,194
86,1281,37
130,1210,-225
154,1051,-215
144,930,-177
81,963,-328
43,1003,-455
-5,982,-507
-59,920,-476
-120,850,-386
-138,851,-379
-184,854,-394
-271,871,-435
-374,910,-484
-455,946,-496
-489,939,-432
-497,872,-206
-528,885,-108
-567,894,29
-571,853,249
-512,778,522
-293,774,864
-247,874,754
-294,971,447
-394,988,103
-456,889,-60
-421,732,28
-328,644,213
-269,834,119
-299,920,-116
-282,900,-288
-198,832,-355
-78,812,-380
44,869,-419
273,1015,-421
373,1020,-320
448,1036,-215
505,1158,-152
569,1435,-84
658,1762,75
753,1885,318
702,1042,506
489,640,311
257,719,57
143,1130,-107
183,1409,-137
275,1294,-90
210,759,-121
91,795,-264
-3,921,-439
-81,957,-573
-178,881,-618
-301,785,-585
-422,744,-524
-534,775,-395
-525,787,-294
-505,804,-179
-500,840,-84
-522,883,-21
-564,895,17
-619,801,77
-610,793,129
-592,880,213
-560,1025,336
-474,1110,506
-310,1045,696
-89,720,637
-201,717,260
-354,822,-94
-392,905,-163
-292,881,48
-164,789,287
-110,726,328
-124,744,177
-144,889,-118
-122,936,-135
-93,974,-104
-46,1019,-59
29,1061,-20
112,1085,-1
150,1093,-8
16,1109,-59
-52,1090,-63
-49,1029,-46
5,963,-33
65,953,-51
123,1023,-97
208,1132,-133
317,1222,-113
410,1255,95
338,1229,180
222,1215,167
105,1226,53
17,1233,-86
-16,1190,-165
5,1094,-165
67,935,-174
39,913,-256
-6,889,-354
-30,850,-439
-25,815,-515
-21,805,-581
-45,806,-620
-144,757,-565
-190,744,-535
-240,782,-548
-297,861,-577
-343,931,-567
-360,952,-507
-359,926,-428
-448,921,-209
-548,999,-10
-620,1083,212
-616,1104,386
-549,1048,473
-484,967,490
-449,914,485
-240,831,589
-54,780,633
13,791,490
-130,867,109
-387,914,-354
-550,854,-645
-488,736,-647
-229,689,-450
391,922,-25
533,1049,73
483,1115,54
283,1137,-81
63,1143,-247
-32,1143,-317
41,1126,-231
320,1031,155
322,1017,266
244,1091,274
165,1241,222
142,1373,177
175,1371,177
240,1213,209
312,1020,226
365,1060,93
300,1206,-24
196,1237,-115
104,1134,-168
49,1001,-226
9,929,-329
-48,908,-464
-136,890,-570
-377,882,-576
-500,914,-505
-588,908,-419
-618,832,-342
-604,727,-279
-583,678,-204
-588,720,-85
-617,803,68
-669,824,291
-643,755,368
-571,685,496
-477,657,680
-400,697,838
-376,782,846
-416,827,641
-504,768,301
-622,587,-103
-555,641,-33
-426,747,82
-321,806,114
-298,792,26
-336,764,-130
-283,845,-355
-147,920,-359
6,973,-313
150,1000,-256
277,1018,-227
368,1046,-243
337,1156,-321
278,1244,-307
284,1343,-225
379,1409,-73
519,1394,120
632,1301,280
660,1194,333
460,1187,200
307,1272,141
177,1322,84
100,1290,-15
91,1209,-158
125,1158,-298
75,1166,-451
-36,1079,-484
-125,902,-508
-149,709,-520
-143,572,-513
-171,512,-495
-259,501,-482
-477,495,-475
-551,509,-462
-615,564,-439
-674,643,-411
-716,710,-379
-734,759,-339
-750,806,-287
-782,850,-210
-744,889,74
-609,921,232
-456,966,333
-374,988,380
-396,980,424
-446,969,510
-397,959,634
21,903,734
60,930,544
-168,999,218
-502,1008,-57
-678,903,-125
-581,769,-8
-333,741,119
-138,843,129
-103,1020,30
-118,970,91
-126,881,159
-169,826,138
-237,845,34
-264,926,-51
-206,1023,-43
-99,1108,44
-20,1189,147
-35,1271,250
-51,1183,252
-54,1042,218
-84,952,146
-158,955,51
-239,991,-32
-286,980,-83
-302,917,-107
-376,831,-171
-426,836,-220
-451,841,-255
-458,839,-261
-473,839,-235
-505,849,-189
-543,865,-141
-561,880,-107
-511,919,-83
-487,928,-85
-490,901,-88
-514,835,-85
-539,758,-76
-556,718,-72
-551,759,-66
-491,891,-3
-158,1177,464
-35,1147,648
-80,1000,534
-273,857,134
-465,814,-286
-516,850,-444
-404,879,-294
-16,796,131
114,775,157
149,817,92
83,902,-11
-41,981,-121
-145,1012,-190
-170,994,-183
-110,973,-121
145,1111,-21
272,1238,-6
355,1300,11
380,1260,48
359,1176,109
314,1133,178
266,1150,222
228,1174,209
203,1175,145
186,1202,7
162,1211,-29
110,1153,-47
55,1042,-50
30,946,-54
37,920,-99
41,952,-209
15,991,-350
-79,973,-490
-128,928,-475
-199,884,-468
-287,840,-499
-361,786,-556
-397,722,-597
-417,672,-593
-461,661,-545
-674,720,-405
-788,744,-315
-854,771,-159
-852,821,103
-773,875,457
-610,881,817
-398,813,1037
-251,722,977
-534,745,170
-768,794,-113
-808,768,-117
-644,686,19
-428,625,93
-291,628,32
-236,678,-93
-153,828,-283
-108,921,-306
-82,1018,-276
-59,1103,-201
-14,1155,-93
49,1161,27
106,1155,125
161,1224,164
248,1421,154
395,1729,205
307,1539,273
132,1223,276
-14,1038,171
-66,1082,7
-52,1203,-124
-37,1191,-174
-52,1011,-183
-119,669,-355
-160,615,-505
-224,570,-611
-318,526,-639
-430,520,-607
-549,572,-552
-668,659,-503
-782,756,-471
-929,908,-359
-940,926,-237
-925,900,-108
-894,857,-27
-834,833,-3
-727,854,4
-457,998,106
-358,1021,223
-275,940,378
-202,785,494
-255,643,223
-393,691,-71
-499,708,-264
-408,652,-304
-254,731,-304
-63,875,-281
138,1006,-209
364,1161,-177
343,1213,-260
285,1219,-266
235,1166,-120
182,1089,244
189,1153,238
223,1233,154
260,1267,112
247,1218,199
216,1191,175
204,1149,85
220,1084,1
287,1024,-86
287,1069,-180
227,1123,-315
0,1111,-518
-76,1035,-555
-92,927,-568
-66,808,-575
-24,662,-614
-49,680,-640
-98,731,-637
-155,769,-589
-294,806,-442
-391,860,-394
-495,929,-346
-605,973,-119
-606,948,41
-625,931,166
-692,937,227
-879,962,246
-919,935,243
-866,876,261
-678,802,339
-171,719,516
-175,708,364
-396,632,19
-632,468,-342
-507,337,-545
-247,531,-431
-14,784,-294
284,1096,-160
331,1167,-195
278,1193,-249
162,1175,-257
132,1271,-77
297,1454,79
490,1596,260
607,1567,394
546,1132,257
465,1011,107
399,1044,44
281,1174,-44
224,1085,-198
189,934,-345
174,817,-419
85,784,-503
-14,799,-572
-119,815,-600
-198,852,-549
-272,988,-352
-322,1027,-312
-398,1030,-302
-525,1024,-224
-541,1053,-168
-529,1103,-119
-481,1152,-40
-288,1076,302
-233,956,482
-238,878,584
-248,890,591
-140,951,400
-136,865,258
-244,738,122
-488,657,-30
-426,689,-31
-254,687,-11
