x,y,z
-44,744,-526
-145,702,-529
-226,681,-507
-291,651,-468
-453,604,-425
-559,647,-418
-654,724,-387
-717,787,-320
-765,782,-172
-765,774,-143
-734,790,-128
-659,815,-100
-498,853,-59
-494,862,-86
-544,846,-117
-604,758,-61
-622,754,-2
-563,781,39
-469,806,72
-271,890,150
-262,997,131
-356,1075,51
-499,1014,-25
-550,610,48
-426,578,108
-309,725,83
-257,900,-5
-216,859,-86
-143,729,-42
-42,660,-1
157,761,-25
239,877,-63
310,1050,-76
368,1351,-15
425,-1861,367
457,-1916,559
520,1540,619
555,905,505
200,1009,-57
-55,1363,-295
-142,1343,-374
-66,1011,-306
-71,697,-194
-244,771,-268
-389,758,-336
-461,565,-300
-495,597,-296
-561,680,-341
-635,709,-389
-747,606,-361
-786,598,-304
-797,636,-248
-771,680,-206
-668,709,-172
-650,711,-171
-678,719,-176
-741,729,-180
-836,718,-93
-814,684,-18
-753,628,-6
-682,563,-110
-550,583,-411
-466,719,-332
-343,889,-45
-187,1048,272
-75,1225,211
-262,1132,-63
-512,885,-188
-548,608,57
-340,850,71
-167,1165,-60
-90,1282,-168
-41,845,90
-16,655,237
-1,626,210
12,700,57
93,880,-118
141,955,-89
181,1005,-62
221,1011,-49
338,974,47
426,1042,75
554,1203,19
899,1505,-157
968,1490,-126
861,1368,-26
629,1190,88
399,953,232
475,1003,176
515,1086,17
452,1076,-156
274,886,-250
218,914,-253
122,994,-303
-15,1019,-365
-222,888,-372
-275,843,-344
-343,829,-321
-528,772,-244
-589,718,-191
-623,680,-151
-647,666,-120
-677,639,-30
-682,609,19
-696,593,37
-732,596,17
-812,585,-52
-808,572,-60
-772,586,-43
-728,619,-20
-676,587,-73
-651,544,-169
-616,576,-254
-570,710,-253
-379,1021,34
-258,1081,121
-221,1057,27
-442,802,-439
-451,704,-534
-279,746,-483
